# Variant positions
# Pop ID	Private	Num_Indv	Var	StdErr	P	Var	StdErr	Obs_Het	Var	StdErr	Obs_Hom	Var	StdErr	Exp_Het	Var	StdErr	Exp_Hom	Var	StdErr	Pi	Var	StdErr	Fis	Var	StdErr
27254	15	1.00000	0.00000	0.00000	0.98672	0.00646	0.00069	0.02655	0.02585	0.00139	0.97345	0.02585	0.00139	0.01328	0.00646	0.00069	0.98672	0.00646	0.00069	0.02655	0.02585	0.00139	0.00000	0.00000	0.00000
27261	21	1.00000	0.00000	0.00000	0.98600	0.00680	0.00071	0.02800	0.02721	0.00143	0.97200	0.02721	0.00143	0.01400	0.00680	0.00071	0.98600	0.00680	0.00071	0.02800	0.02721	0.00143	0.00000	0.00000	0.00000
27264	27	1.00000	0.00000	0.00000	0.98815	0.00578	0.00067	0.02370	0.02314	0.00135	0.97630	0.02314	0.00135	0.01185	0.00578	0.00067	0.98815	0.00578	0.00067	0.02370	0.02314	0.00135	0.00000	0.00000	0.00000
27646	74	1.00000	0.00000	0.00000	0.98784	0.00593	0.00068	0.02431	0.02372	0.00135	0.97569	0.02372	0.00135	0.01216	0.00593	0.00068	0.98784	0.00593	0.00068	0.02431	0.02372	0.00135	0.00000	0.00000	0.00000
27674	38	1.00000	0.00000	0.00000	0.99268	0.00361	0.00051	0.01464	0.01442	0.00103	0.98536	0.01442	0.00103	0.00732	0.00361	0.00051	0.99268	0.00361	0.00051	0.01464	0.01442	0.00103	0.00000	0.00000	0.00000
27686	42	1.00000	0.00000	0.00000	0.99281	0.00354	0.00051	0.01438	0.01418	0.00102	0.98562	0.01418	0.00102	0.00719	0.00354	0.00051	0.99281	0.00354	0.00051	0.01438	0.01418	0.00102	0.00000	0.00000	0.00000
27746	34	1.00000	0.00000	0.00000	0.99448	0.00273	0.00045	0.01105	0.01093	0.00090	0.98895	0.01093	0.00090	0.00552	0.00273	0.00045	0.99448	0.00273	0.00045	0.01105	0.01093	0.00090	0.00000	0.00000	0.00000
27839	17	1.00000	0.00000	0.00000	0.99479	0.00258	0.00044	0.01043	0.01032	0.00087	0.98957	0.01032	0.00087	0.00521	0.00258	0.00044	0.99479	0.00258	0.00044	0.01043	0.01032	0.00087	0.00000	0.00000	0.00000
27852	28	1.00000	0.00000	0.00000	0.99428	0.00283	0.00046	0.01144	0.01131	0.00092	0.98856	0.01131	0.00092	0.00572	0.00283	0.00046	0.99428	0.00283	0.00046	0.01144	0.01131	0.00092	0.00000	0.00000	0.00000
27884	30	1.00000	0.00000	0.00000	0.98798	0.00586	0.00065	0.02403	0.02346	0.00130	0.97597	0.02346	0.00130	0.01202	0.00586	0.00065	0.98798	0.00586	0.00065	0.02403	0.02346	0.00130	0.00000	0.00000	0.00000
29529	110	1.00000	0.00000	0.00000	0.98501	0.00727	0.00073	0.02998	0.02908	0.00146	0.97002	0.02908	0.00146	0.01499	0.00727	0.00073	0.98501	0.00727	0.00073	0.02998	0.02908	0.00146	0.00000	0.00000	0.00000
32006	62	1.00000	0.00000	0.00000	0.98309	0.00817	0.00077	0.03381	0.03267	0.00154	0.96619	0.03267	0.00154	0.01691	0.00817	0.00077	0.98309	0.00817	0.00077	0.03381	0.03267	0.00154	0.00000	0.00000	0.00000
32007	47	1.00000	0.00000	0.00000	0.98388	0.00780	0.00076	0.03224	0.03120	0.00151	0.96776	0.03120	0.00151	0.01612	0.00780	0.00076	0.98388	0.00780	0.00076	0.03224	0.03120	0.00151	0.00000	0.00000	0.00000
