****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x2315
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.045	Loglikelihood: -81096.8	(delta): 246250
2 (EM) 	Elapsed: 0.042	Loglikelihood: -73415.1	(delta): 7681.69
3 (EM) 	Elapsed: 0.039	Loglikelihood: -71608.6	(delta): 1806.51
4 (EM) 	Elapsed: 0.038	Loglikelihood: -70216.4	(delta): 1392.22
5 (EM) 	Elapsed: 0.038	Loglikelihood: -68842.4	(delta): 1374.01
Initial loglikelihood: -68842.4
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.076	Loglikelihood: -65762.5	(delta): 3079.9
2 (QN/EM) 	Elapsed: 0.076	Loglikelihood: -62008.9	(delta): 3753.62
3 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -47754.9	(delta): 14253.9
4 (QN/EM) 	Elapsed: 0.08	Loglikelihood: -44673.4	(delta): 3081.58
5 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -38549.1	(delta): 6124.23
6 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -34694.7	(delta): 3854.43
7 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -32875.2	(delta): 1819.53
8 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -31975.8	(delta): 899.343
9 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -29882.8	(delta): 2093.05
10 (QN/EM) 	Elapsed: 0.08	Loglikelihood: -28626.5	(delta): 1256.24
11 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -27102.9	(delta): 1523.59
12 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -25947.4	(delta): 1155.54
13 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -25297.8	(delta): 649.551
14 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -23879.7	(delta): 1418.13
15 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -21767.2	(delta): 2112.48
16 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -21138.3	(delta): 628.984
17 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -20640.2	(delta): 498.096
18 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -20201.9	(delta): 438.262
19 (QN/EM) 	Elapsed: 0.08	Loglikelihood: -19770.8	(delta): 431.052
20 (QN/EM) 	Elapsed: 0.08	Loglikelihood: -19602	(delta): 168.866
21 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -19231.5	(delta): 370.461
22 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -19042.4	(delta): 189.064
23 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -18505.1	(delta): 537.334
24 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -17277.2	(delta): 1227.92
25 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -16097.1	(delta): 1180.11
26 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -15785.6	(delta): 311.464
27 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -15615.6	(delta): 169.984
28 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -15422.9	(delta): 192.744
29 (QN/EM) 	Elapsed: 0.08	Loglikelihood: -15313.1	(delta): 109.802
30 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -15260.1	(delta): 53.027
31 (QN/EM) 	Elapsed: 0.08	Loglikelihood: -15216	(delta): 44.0579
32 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -15124	(delta): 91.9596
33 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -15099.3	(delta): 24.7199
34 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -15025.1	(delta): 74.2705
35 (QN/EM) 	Elapsed: 0.08	Loglikelihood: -15013.4	(delta): 11.687
36 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14990.5	(delta): 22.9038
37 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14983.3	(delta): 7.20553
38 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14977.8	(delta): 5.47209
39 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14972.4	(delta): 5.41918
40 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14898.9	(delta): 73.4435
41 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14847.2	(delta): 51.6927
42 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14831.9	(delta): 15.3225
43 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14829.3	(delta): 2.63245
44 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14824	(delta): 5.22683
45 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14822.4	(delta): 1.68241
46 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14821.4	(delta): 0.92734
47 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14820.7	(delta): 0.695118
48 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14820	(delta): 0.69713
49 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14819.4	(delta): 0.695289
50 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14798.2	(delta): 21.155
51 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14795.5	(delta): 2.72892
52 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14793.8	(delta): 1.67197
53 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14792.7	(delta): 1.1078
54 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14788.9	(delta): 3.75753
55 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14782.5	(delta): 6.39256
56 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14777.1	(delta): 5.46809
57 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14765	(delta): 12.064
58 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14762	(delta): 3.03239
59 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14760.5	(delta): 1.44087
60 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14757.6	(delta): 2.95198
61 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14756.4	(delta): 1.14045
62 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14755.1	(delta): 1.3693
63 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14754	(delta): 1.03607
64 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14727.3	(delta): 26.765
65 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14715.2	(delta): 12.0715
66 (QN/EM) 	Elapsed: 0.078	Loglikelihood: -14701.3	(delta): 13.8906
67 (QN/EM) 	Elapsed: 0.079	Loglikelihood: -14689.1	(delta): 12.1851
68 (QN/EM) 	Elapsed: 0.077	Loglikelihood: -14683.8	(delta): 5.29645
