****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x2315
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.067	Loglikelihood: -80869.5	(delta): 241792
2 (EM) 	Elapsed: 0.055	Loglikelihood: -73323.8	(delta): 7545.73
3 (EM) 	Elapsed: 0.052	Loglikelihood: -71520.3	(delta): 1803.5
4 (EM) 	Elapsed: 0.052	Loglikelihood: -70080.7	(delta): 1439.58
5 (EM) 	Elapsed: 0.052	Loglikelihood: -68625.4	(delta): 1455.35
Initial loglikelihood: -68625.4
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.11	Loglikelihood: -65388.1	(delta): 3237.25
2 (QN/EM) 	Elapsed: 0.11	Loglikelihood: -61619.7	(delta): 3768.38
3 (QN/EM) 	Elapsed: 0.115	Loglikelihood: -44558.5	(delta): 17061.2
4 (QN/EM) 	Elapsed: 0.116	Loglikelihood: -40288.9	(delta): 4269.66
5 (QN/EM) 	Elapsed: 0.114	Loglikelihood: -32734.3	(delta): 7554.59
6 (QN/EM) 	Elapsed: 0.114	Loglikelihood: -27963.5	(delta): 4770.76
7 (QN/EM) 	Elapsed: 0.114	Loglikelihood: -25124.9	(delta): 2838.63
8 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -20324.7	(delta): 4800.17
9 (QN/EM) 	Elapsed: 0.116	Loglikelihood: -17423.1	(delta): 2901.63
10 (QN/EM) 	Elapsed: 0.114	Loglikelihood: -17098.9	(delta): 324.21
11 (QN/EM) 	Elapsed: 0.114	Loglikelihood: -16731.4	(delta): 367.437
12 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -15708.5	(delta): 1022.94
13 (QN/EM) 	Elapsed: 0.116	Loglikelihood: -15279.7	(delta): 428.746
14 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -14838.6	(delta): 441.143
15 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -14663.7	(delta): 174.893
16 (QN/EM) 	Elapsed: 0.116	Loglikelihood: -14615	(delta): 48.7148
17 (QN/EM) 	Elapsed: 0.114	Loglikelihood: -14490.6	(delta): 124.344
18 (QN/EM) 	Elapsed: 0.115	Loglikelihood: -14391.2	(delta): 99.3991
19 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -14318.4	(delta): 72.8537
20 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -14298.2	(delta): 20.2195
21 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -14253.2	(delta): 44.9925
22 (QN/EM) 	Elapsed: 0.113	Loglikelihood: -14153.9	(delta): 99.2916
