****                   ADMIXTURE Version 1.3.0                  ****
****                    Copyright 2008-2015                     ****
****           David Alexander, Suyash Shringarpure,            ****
****                John  Novembre, Ken Lange                   ****
****                                                            ****
****                 Please cite our paper!                     ****
****   Information at www.genetics.ucla.edu/software/admixture  ****

Cross-validation will be performed.  Folds=5.
Parallel execution requested.  Will use 5 threads.
Random seed: 43
Point estimation method: EM algorithm
Convergence acceleration algorithm: QuasiNewton, 3 secant conditions
Point estimation will terminate when objective function delta < 0.0001
Estimation of standard errors disabled; will compute point estimates only.
Size of G: 100x2315
Performing five EM steps to prime main algorithm
1 (EM) 	Elapsed: 0.062	Loglikelihood: -81070.5	(delta): 242577
2 (EM) 	Elapsed: 0.05	Loglikelihood: -73365	(delta): 7705.45
3 (EM) 	Elapsed: 0.047	Loglikelihood: -71437.1	(delta): 1927.95
4 (EM) 	Elapsed: 0.047	Loglikelihood: -69847.5	(delta): 1589.54
5 (EM) 	Elapsed: 0.046	Loglikelihood: -68181.6	(delta): 1665.95
Initial loglikelihood: -68181.6
Starting main algorithm
1 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -64267.6	(delta): 3913.96
2 (QN/EM) 	Elapsed: 0.1	Loglikelihood: -59629.2	(delta): 4638.46
3 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -40348.4	(delta): 19280.8
4 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -37445.7	(delta): 2902.69
5 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -30702.8	(delta): 6742.88
6 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -26969.8	(delta): 3733.05
7 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -25283.8	(delta): 1686.01
8 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -23928.8	(delta): 1354.98
9 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -22701.2	(delta): 1227.53
10 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -21680.6	(delta): 1020.66
11 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -21356.4	(delta): 324.136
12 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -21069.9	(delta): 286.589
13 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -20728.4	(delta): 341.497
14 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -20463.4	(delta): 264.981
15 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -20266.4	(delta): 196.971
16 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -20009.2	(delta): 257.214
17 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -18493.3	(delta): 1515.91
18 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -17645	(delta): 848.285
19 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -17406.4	(delta): 238.611
20 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -16964.9	(delta): 441.461
21 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -16685.6	(delta): 279.342
22 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -16472.4	(delta): 213.219
23 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -16117	(delta): 355.4
24 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -16036.8	(delta): 80.2018
25 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15937.3	(delta): 99.4997
26 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15909.7	(delta): 27.5953
27 (QN/EM) 	Elapsed: 0.106	Loglikelihood: -15888.1	(delta): 21.5849
28 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15868.7	(delta): 19.4349
29 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15830.4	(delta): 38.265
30 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15811.7	(delta): 18.6863
31 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15793.6	(delta): 18.1038
32 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15776.1	(delta): 17.4575
33 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15749	(delta): 27.1528
34 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15732.8	(delta): 16.2163
35 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15679.4	(delta): 53.3326
36 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -15660.2	(delta): 19.2219
37 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15646.5	(delta): 13.6734
38 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15604.9	(delta): 41.658
39 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15465.6	(delta): 139.244
40 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -15275.9	(delta): 189.761
41 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15254.3	(delta): 21.5368
42 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15247.1	(delta): 7.2062
43 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -15233.4	(delta): 13.7832
44 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15223.5	(delta): 9.81771
45 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15216.8	(delta): 6.71612
46 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15199.5	(delta): 17.3289
47 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -15190.9	(delta): 8.6156
48 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15185.9	(delta): 5.01803
49 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15181	(delta): 4.85647
50 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15176.3	(delta): 4.71463
51 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -15171.7	(delta): 4.62566
52 (QN/EM) 	Elapsed: 0.106	Loglikelihood: -15167	(delta): 4.62725
53 (QN/EM) 	Elapsed: 0.107	Loglikelihood: -15158.8	(delta): 8.22509
54 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -15154.3	(delta): 4.54709
55 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15149.6	(delta): 4.64828
56 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -15144.6	(delta): 4.98192
57 (QN/EM) 	Elapsed: 0.104	Loglikelihood: -15135.6	(delta): 9.0476
58 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -15131.9	(delta): 3.66317
59 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15123.2	(delta): 8.70033
60 (QN/EM) 	Elapsed: 0.102	Loglikelihood: -15112.8	(delta): 10.3957
61 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -15109.2	(delta): 3.61264
62 (QN/EM) 	Elapsed: 0.103	Loglikelihood: -15091.3	(delta): 17.9592
63 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -15086.1	(delta): 5.12146
64 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -15081.5	(delta): 4.63852
65 (QN/EM) 	Elapsed: 0.105	Loglikelihood: -15076.7	(delta): 4.78749
